상권_코드,class,val
1000003,상주비율_50대,0.159802306
1000003,상주비율_60대이상,0.256177924
1000003,상주비율_남성10대,0.041186161
1000003,상주비율_남성20대,0.088138386
1000003,상주비율_남성30대,0.106260297
1000003,상주비율_남성40대,0.106260297
1000003,상주비율_남성50대,0.105436573
1000003,상주비율_남성60대이상,0.13014827
1000003,상주비율_여성10대,0.035420099
1000003,상주비율_여성20대,0.064250412
1000003,상주비율_여성30대,0.060131796
1000003,상주비율_여성40대,0.082372323
1000003,상주비율_여성50대,0.054365733
1000003,상주비율_여성60대,0.126029654
1000003,유동비율_남성,0.576268435
1000003,유동비율_여성,0.423731565
1000003,유동비율_10대,0.048711896
1000003,유동비율_20대,0.188123681
1000003,유동비율_30대,0.188851946
1000003,유동비율_40대,0.181172325
1000003,유동비율_50대,0.161382655
1000003,유동비율_60대이상,0.23175791
1000003,유동비율_주중,0.774101532
1000003,유동비율_주말,0.225898606
1000003,유동비율_남성10대주중,0.018152975
1000003,유동비율_남성10대주말,0.008068158
1000003,유동비율_남성10대,0.026221133
1000003,유동비율_남성20대주중,0.063569773
1000003,유동비율_남성20대주말,0.02579872
1000003,유동비율_남성20대,0.089368493
1000003,유동비율_남성30대주중,0.089921709
1000003,유동비율_남성30대주말,0.022087984
1000003,유동비율_남성30대,0.112009693
1000003,유동비율_남성40대주중,0.093746379
1000003,유동비율_남성40대주말,0.020162583
1000003,유동비율_남성40대,0.113908962
1000003,유동비율_남성50대주중,0.080681718
1000003,유동비율_남성50대주말,0.020365839
1000003,유동비율_남성50대,0.101047557
1000003,유동비율_남성60대주중,0.101910219
1000003,유동비율_남성60대주말,0.031802101
1000003,유동비율_남성60대,0.133712321
1000003,유동비율_여성10대주중,0.015477324
1000003,유동비율_여성10대주말,0.007015513
1000003,유동비율_여성10대,0.022492837
1000003,유동비율_여성20대주중,0.073787882
1000003,유동비율_여성20대주말,0.024966477
1000003,유동비율_여성20대,0.098754359
1000003,유동비율_여성30대주중,0.061466834
1000003,유동비율_여성30대주말,0.015374866
1000003,유동비율_여성30대,0.0768417
1000003,유동비율_여성40대주중,0.054065549
1000003,유동비율_여성40대주말,0.013197815
1000003,유동비율_여성40대,0.067263364
1000003,유동비율_여성50대주중,0.047206834
1000003,유동비율_여성50대주말,0.013128127
1000003,유동비율_여성50대,0.06033496
1000003,유동비율_여성60대주중,0.074114336
1000003,유동비율_여성60대주말,0.023931392
1000003,유동비율_여성60대,0.098045728
1000004,상주비율_남성,0.4889043
1000004,상주비율_여성,0.5110957
1000004,상주비율_10대,0.109570042
1000004,상주비율_20대,0.347434119
1000004,상주비율_30대,0.109570042
1000004,상주비율_40대,0.10332871
1000004,상주비율_50대,0.096393897
1000004,상주비율_60대이상,0.23370319
1000004,상주비율_남성10대,0.046463245
1000004,상주비율_남성20대,0.173370319
1000004,상주비율_남성30대,0.065880721
1000004,상주비율_남성40대,0.057558946
1000004,상주비율_남성50대,0.042302358
1000004,상주비율_남성60대이상,0.10332871
1000004,상주비율_여성10대,0.063106796
1000004,상주비율_여성20대,0.1740638
1000004,상주비율_여성30대,0.04368932
1000004,상주비율_여성40대,0.045769764
1000004,상주비율_여성50대,0.05409154
1000004,상주비율_여성60대,0.13037448
1000004,유동비율_남성,0.472881994
1000004,유동비율_여성,0.527118006
1000004,유동비율_10대,0.161888841
1000004,유동비율_20대,0.301190029
1000004,유동비율_30대,0.109744496
1000004,유동비율_40대,0.1288918
1000004,유동비율_50대,0.107148338
1000004,유동비율_60대이상,0.191136495
1000004,유동비율_주중,0.716003138
1000004,유동비율_주말,0.283997347
1000004,유동비율_남성10대주중,0.062423565
1000004,유동비율_남성10대주말,0.020815298
1000004,유동비율_남성10대,0.083238862
1000004,유동비율_남성20대주중,0.107695383
1000004,유동비율_남성20대주말,0.041644348
1000004,유동비율_남성20대,0.149339732
1000004,유동비율_남성30대주중,0.040638358
1000004,유동비율_남성30대주말,0.016868031
1000004,유동비율_남성30대,0.057506389
1000004,유동비율_남성40대주중,0.041826859
1000004,유동비율_남성40대주말,0.017335308
1000004,유동비율_남성40대,0.059162167
1000004,유동비율_남성50대주중,0.035000931
1000004,유동비율_남성50대주말,0.014756058
1000004,유동비율_남성50대,0.049756989
1000004,유동비율_남성60대주중,0.052135041
1000004,유동비율_남성60대주말,0.021745565
1000004,유동비율_남성60대,0.073880606
1000004,유동비율_여성10대주중,0.057241442
1000004,유동비율_여성10대주말,0.021408051
1000004,유동비율_여성10대,0.078649493
1000004,유동비율_여성20대주중,0.109408843
1000004,유동비율_여성20대주말,0.042441698
1000004,유동비율_여성20대,0.15185054
1000004,유동비율_여성30대주중,0.037269768
1000004,유동비율_여성30대주말,0.014969472
1000004,유동비율_여성30대,0.05223924
1000004,유동비율_여성40대주중,0.049334772
1000004,유동비율_여성40대주말,0.02039656
1000004,유동비율_여성40대,0.069731332
1000004,유동비율_여성50대주중,0.040344287
1000004,유동비율_여성50대주말,0.017047628
1000004,유동비율_여성50대,0.057391916
1000004,유동비율_여성60대주중,0.082687206
1000004,유동비율_여성60대주말,0.034570301
1000004,유동비율_여성60대,0.117257507
1000005,상주비율_남성,0.491921005
1000005,상주비율_여성,0.508078995
1000005,상주비율_10대,0.146020347
1000005,상주비율_20대,0.140634351
1000005,상주비율_30대,0.141831239
1000005,상주비율_40대,0.175942549
1000005,상주비율_50대,0.172950329
1000005,상주비율_60대이상,0.222621185
1000005,상주비율_남성10대,0.081986834
1000005,상주비율_남성20대,0.080191502
1000005,상주비율_남성30대,0.068222621
1000005,상주비율_남성40대,0.081986834
1000005,상주비율_남성50대,0.074207062
1000005,상주비율_남성60대이상,0.105326152
1000005,상주비율_여성10대,0.064033513
1000005,상주비율_여성20대,0.060442849
1000005,상주비율_여성30대,0.073608618
1000005,상주비율_여성40대,0.093955715
1000005,상주비율_여성50대,0.098743268
1000005,상주비율_여성60대,0.117295033
1000005,유동비율_남성,0.47348638
1000005,유동비율_여성,0.526514659
1000005,유동비율_10대,0.142682459
1000005,유동비율_20대,0.124321959
1000005,유동비율_30대,0.114868622
1000005,유동비율_40대,0.17398277
1000005,유동비율_50대,0.16736164
1000005,유동비율_60대이상,0.276784109
1000005,유동비율_주중,0.705225397
1000005,유동비율_주말,0.294774603
1000005,유동비율_남성10대주중,0.063486661
1000005,유동비율_남성10대주말,0.02406389
1000005,유동비율_남성10대,0.087550551
1000005,유동비율_남성20대주중,0.05043616
1000005,유동비율_남성20대주말,0.021559076
1000005,유동비율_남성20대,0.071995236
1000005,유동비율_남성30대주중,0.034595545
1000005,유동비율_남성30대주말,0.014666678
1000005,유동비율_남성30대,0.049262223
1000005,유동비율_남성40대주중,0.053461685
1000005,유동비율_남성40대주말,0.023054169
1000005,유동비율_남성40대,0.076515855
1000005,유동비율_남성50대주중,0.052920188
1000005,유동비율_남성50대주말,0.023232936
1000005,유동비율_남성50대,0.076153124
1000005,유동비율_남성60대주중,0.07941458
1000005,유동비율_남성60대주말,0.032622874
1000005,유동비율_남성60대,0.112037454
1000005,유동비율_여성10대주중,0.039824476
1000005,유동비율_여성10대주말,0.015315747
1000005,유동비율_여성10대,0.055140223
1000005,유동비율_여성20대주중,0.036731393
1000005,유동비율_여성20대주말,0.015599487
1000005,유동비율_여성20대,0.052330881
1000005,유동비율_여성30대주중,0.045446798
1000005,유동비율_여성30대주말,0.020168436
1000005,유동비율_여성30대,0.065615233
1000005,유동비율_여성40대주중,0.068217227
1000005,유동비율_여성40대주말,0.029259043
1000005,유동비율_여성40대,0.097476269
1000005,유동비율_여성50대주중,0.063528754
1000005,유동비율_여성50대주말,0.027679242
1000005,유동비율_여성50대,0.091207996
1000005,유동비율_여성60대주중,0.11717908
1000005,유동비율_여성60대주말,0.047574851
1000005,유동비율_여성60대,0.164753931
1000006,상주비율_남성,0.452307692
1000006,상주비율_여성,0.547692308
1000006,상주비율_10대,0.087692308
1000006,상주비율_20대,0.087692308
1000006,상주비율_30대,0.098461538
1000006,상주비율_40대,0.161538462
1000006,상주비율_50대,0.206153846
1000006,상주비율_60대이상,0.358461538
1000006,상주비율_남성10대,0.047692308
1000006,상주비율_남성20대,0.044615385
1000006,상주비율_남성30대,0.046153846
1000006,상주비율_남성40대,0.083076923
1000006,상주비율_남성50대,0.090769231
1000006,상주비율_남성60대이상,0.14
1000006,상주비율_여성10대,0.04
1000006,상주비율_여성20대,0.043076923
1000006,상주비율_여성30대,0.052307692
1000006,상주비율_여성40대,0.078461538
1000006,상주비율_여성50대,0.115384615
1000006,상주비율_여성60대,0.218461538
1000006,유동비율_남성,0.497452385
1000006,유동비율_여성,0.502547615
1000006,유동비율_10대,0.10166557
1000006,유동비율_20대,0.146061473
1000006,유동비율_30대,0.198673206
1000006,유동비율_40대,0.196948861
1000006,유동비율_50대,0.152309938
1000006,유동비율_60대이상,0.204340953
1000006,유동비율_주중,0.753199107
1000006,유동비율_주말,0.246800424
1000006,유동비율_남성10대주중,0.037615464
1000006,유동비율_남성10대주말,0.012153842
1000006,유동비율_남성10대,0.049769306
1000006,유동비율_남성20대주중,0.049976237
1000006,유동비율_남성20대주말,0.020089625
1000006,유동비율_남성20대,0.070065862
1000006,유동비율_남성30대주중,0.085204381
1000006,유동비율_남성30대주말,0.019927689
1000006,유동비율_남성30대,0.10513207
1000006,유동비율_남성40대주중,0.090026828
1000006,유동비율_남성40대주말,0.021703825
1000006,유동비율_남성40대,0.111730653
1000006,유동비율_남성50대주중,0.060398938
1000006,유동비율_남성50대주말,0.017112212
1000006,유동비율_남성50대,0.07751115
1000006,유동비율_남성60대주중,0.060623914
1000006,유동비율_남성60대주말,0.022622241
1000006,유동비율_남성60대,0.083246155
1000006,유동비율_여성10대주중,0.037539066
1000006,유동비율_여성10대주말,0.014353917
1000006,유동비율_여성10대,0.051892983
1000006,유동비율_여성20대주중,0.054284521
1000006,유동비율_여성20대주말,0.021712965
1000006,유동비율_여성20대,0.075997486
1000006,유동비율_여성30대주중,0.071410794
1000006,유동비율_여성30대주말,0.02213081
1000006,유동비율_여성30대,0.093541605
1000006,유동비율_여성40대주중,0.063876218
1000006,유동비율_여성40대주말,0.021342927
1000006,유동비율_여성40대,0.085219145
1000006,유동비율_여성50대주중,0.054773375
1000006,유동비율_여성50대주말,0.020024944
1000006,유동비율_여성50대,0.074798319
1000006,유동비율_여성60대주중,0.087471011
1000006,유동비율_여성60대주말,0.033626598
1000006,유동비율_여성60대,0.121097609
1000007,상주비율_남성,0.469339623
1000007,상주비율_여성,0.530660377
1000007,상주비율_10대,0.134433962
1000007,상주비율_20대,0.132075472
1000007,상주비율_30대,0.139150943
1000007,상주비율_40대,0.120283019
1000007,상주비율_50대,0.132075472
1000007,상주비율_60대이상,0.341981132
1000007,상주비율_남성10대,0.080188679
1000007,상주비율_남성20대,0.058962264
1000007,상주비율_남성30대,0.066037736
1000007,상주비율_남성40대,0.061320755
1000007,상주비율_남성50대,0.058962264
1000007,상주비율_남성60대이상,0.143867925
1000007,상주비율_여성10대,0.054245283
1000007,상주비율_여성20대,0.073113208
1000007,상주비율_여성30대,0.073113208
1000007,상주비율_여성40대,0.058962264
1000007,상주비율_여성50대,0.073113208
1000007,상주비율_여성60대,0.198113208
1000007,유동비율_남성,0.492588634
1000007,유동비율_여성,0.507410796
