상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,1분기매출,2분기매출,3분기매출,4분기매출,분기별매출평균,점포수
1000005,백석동길,CS100010,커피-음료,84999520,134147655,154314587,69938908.83,110850167.7,6
1000005,백석동길,CS200001,일반교습학원,,,,131028874.5,131028874.5,2
1000005,백석동길,CS200028,미용실,41567501,41579798,36949405,397699,30123600.75,1.5
1000005,백석동길,CS300001,슈퍼마켓,41389131,37459592,46708975.67,28483511.33,38510302.5,2.75
1000005,백석동길,CS300002,편의점,32378729,39099584.33,42034740.67,41767976.67,38820257.67,3
1000005,백석동길,CS300011,일반의류,17892510.5,16179398,,12372481,15481463.17,1.333333333
1000006,북촌로11길,CS100001,한식음식점,185262007,214724841.8,200707368,149492066.4,187546570.8,5
1000006,북촌로11길,CS100007,치킨전문점,52378559,71056552,62584375,76014168,65508413.5,1
1000006,북촌로11길,CS100008,분식전문점,14527247.4,17926324.5,18609260,16037832.5,16775166.1,4
1000006,북촌로11길,CS100010,커피-음료,5612035,7180262.75,7467096.5,12099956.5,8089837.688,4
1000006,북촌로11길,CS200028,미용실,7855362,6231920,8239401,4556110,6720698.25,1
1000006,북촌로11길,CS300001,슈퍼마켓,101243119.2,98510552.33,96201773,108518302.2,101118436.7,5.75
1000006,북촌로11길,CS300007,육류판매,334436059,371453239,350932242,,352273846.7,1
1000006,북촌로11길,CS300010,반찬가게,68500000,,,187058824,127779412,1.5
1000006,북촌로11길,CS300011,일반의류,5615021.5,18009943.5,12586474.5,8939091,11287632.63,1.75
1000006,북촌로11길,CS300022,화장품,9087491.5,1844659,452677,,3794942.5,2
1000007,북촌로5길,CS100001,한식음식점,96946223.8,88672018.93,89917609.13,68506267,86010529.72,15
1000007,북촌로5길,CS100002,중식음식점,3919962.667,,5648822,9077205.667,6215330.111,3
1000007,북촌로5길,CS100005,제과점,,,9792985.857,16888225.29,13340605.57,7
1000007,북촌로5길,CS100006,패스트푸드점,358022826,417942125,218829360,60234478,263757197.3,1
1000007,북촌로5길,CS100008,분식전문점,50014402.71,45842934.43,64799211.33,69742484.18,57599758.16,22.5
1000007,북촌로5길,CS100009,호프-간이주점,5802128,7061940,6827526,6311244,6500709.5,1
1000007,북촌로5길,CS100010,커피-음료,42976068.55,46653695.55,83374468.91,116828012.4,72458061.36,31.5
1000007,북촌로5길,CS200031,세탁소,,,,3376778,3376778,1
1000007,북촌로5길,CS300001,슈퍼마켓,1325168.556,1379369.778,1493508.4,1741090.909,1484784.411,9.75
1000007,북촌로5길,CS300002,편의점,158247310,114248729,238262256.7,64232561,143747714.2,3.25
1000007,북촌로5길,CS300011,일반의류,47155180.93,59104214.63,55934693.15,67229766.46,57355963.79,26.75
1000007,북촌로5길,CS300022,화장품,89848238.83,105869905,104605410.7,155629850.8,113988351.3,6
1000008,북촌로5나길,CS100001,한식음식점,94281451.2,116488859.1,101451805.1,102753586.6,103743925.5,15.5
1000008,북촌로5나길,CS100002,중식음식점,107101726,131687791,112257387,110426055,115368239.8,1
1000008,북촌로5나길,CS100005,제과점,41491762.5,33172972,26630699.5,,33765144.67,2
1000008,북촌로5나길,CS100009,호프-간이주점,24660010,30211800,44694481,,33188763.67,1
1000008,북촌로5나길,CS100010,커피-음료,54068873.4,43973310.57,36190600.45,28971129.89,40800978.58,20
1000008,북촌로5나길,CS300001,슈퍼마켓,2355664,9730377.857,,1154924.571,4413655.476,7
1000008,북촌로5나길,CS300002,편의점,96365403,122588962.5,121034932.5,118910147,114724861.3,2
1000008,북촌로5나길,CS300011,일반의류,60651620,62802581.33,60585173.25,45843215.5,57470647.52,3.5
1000008,북촌로5나길,CS300022,화장품,26156272.6,,,35400000,30778136.3,5
1000009,삼청로5길,CS100001,한식음식점,159302725.5,175331677.6,180669518.8,180617775.4,173980424.3,12.75
